"","Institution","Titre du poste","Domaine","Date limite"
"1","Fondasyon Depase Fwontyè","Koòdonatris/Koòdonatè Lojistik ak Sekirite","Transport et Logistique","31 Dec 22"
"2","DHL International S.A.","Finance Manager / Directeur (trice) des Finances","Management/Gestion, Finance, Comptabilité et Commerce","21 Dec 22"
"3","Habitat pour l'humanite Haiti","Human Resources Manager","Management/Gestion, Finance, Comptabilité et Commerce","16 Dec 22"
"4","Secteur projet","Responsable de Gestion des Risques Environnementaux et Sociaux (RGRES)","Sciences Humaines et Sociales","16 Dec 22"
"5","Parole & Action","Directeur Financier","Management/Gestion, Finance, Comptabilité et Commerce","15 Dec 22"
"6","Mercy Corps Haiti","Assistant(e) en Suivi, �<U+0089>valuation et Apprentissage","Sciences économiques et politiques","12 Dec 22"
"7","CARE Haiti","Chauffeur","Transport et Logistique","10 Dec 22"
"8","Group Croissance S.A.","Coordonnateur-trice régional(e) de terrain (Sud)","Management/Gestion, Finance, Comptabilité et Commerce","7 Dec 22"
"9","CRS","Supply Chain Manager","Management/Gestion, Finance, Comptabilité et Commerce","7 Dec 22"
"10","International Business Initiatives","Evaluation Specialist: Mid-Term Performance Evaluation for USAID/Haiti RANFOSE Activity","Management/Gestion, Finance, Comptabilité et Commerce","7 Dec 22"
"11","CARE Haiti","FY-23/0228  Officier/officière en Suivi, �<U+0089>valuation, et Apprentissage","Sciences économiques et politiques","7 Dec 22"
"12","Helvetas Swiss Intercooperation","Responsable Logistique","Management/Gestion, Finance, Comptabilité et Commerce","7 Dec 22"
"13","CARE Haiti","Mobilisateur Communautaire","Sciences Humaines et Sociales","7 Dec 22"
"14","CARE Haiti","Superviseur Terrain","Sciences Humaines et Sociales","7 Dec 22"
"15","CARE Haiti","Coordonnateur/trice nutrition et changement de comportement social","Santé et Professions médicales","7 Dec 22"
"16","CARE Haiti","Chef de Projet","Sciences économiques et politiques","7 Dec 22"
"17","CARE Haiti","Conseiller Mobilisation des Ressources","Sciences économiques et politiques","5 Dec 22"
"18","CRS","Technical Advisor II- Gender, Youth, and Social Dynamics Lead","Sciences Humaines et Sociales","4 Dec 22"
"19","CRS","Project Manager","Sciences Humaines et Sociales","4 Dec 22"
"20","CRS","Officier MEAL","Sciences économiques et politiques","4 Dec 22"
